tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt2334649	movie	Fruitvale Station	Fruitvale Station	0.0	2013.0		85	Biography,Crime,Drama
tt4540710	movie	Miss Sloane	Miss Sloane	0.0	2016.0		132	Drama
tt0120324	movie	A Simple Plan	A Simple Plan	0.0	1998.0		121	Crime,Drama,Thriller
tt1433811	movie	Disconnect	Disconnect	0.0	2012.0		115	Crime,Drama,Mystery
tt0310775	movie	Sympathy for Mr. Vengeance	Boksuneun naui geot	0.0	2002.0		129	Crime,Drama,Thriller
tt0094947	movie	Dangerous Liaisons	Dangerous Liaisons	0.0	1988.0		119	Drama,Romance
tt0254686	movie	The Piano Teacher	La pianiste	0.0	2001.0		131	Drama,Music
tt0110932	movie	Quiz Show	Quiz Show	0.0	1994.0		133	Biography,Drama,History
tt0986233	movie	Hunger	Hunger	0.0	2008.0		96	Biography,Crime,Drama
tt0315983	movie	House of Sand and Fog	House of Sand and Fog	0.0	2003.0		126	Crime,Drama
tt8637428	movie	The Farewell	The Farewell	0.0	2019.0		100	Comedy,Drama
tt0364517	movie	Love Me If You Dare	Jeux d'enfants	0.0	2003.0		93	Comedy,Drama,Romance
tt14039582	movie	Drive My Car	Doraibu mai kâ	0.0	2021.0		179	Drama
tt0108002	movie	Rudy	Rudy	0.0	1993.0		114	Biography,Drama,Sport
tt11655202	movie	Riders of Justice	Retfærdighedens ryttere	0.0	2020.0		116	Action,Comedy,Drama
tt1436045	movie	13 Assassins	Jûsannin no shikaku	0.0	2010.0		141	Action,Adventure,Drama
tt0218839	movie	Best in Show	Best in Show	0.0	2000.0		90	Comedy
tt0105151	movie	The Player	The Player	0.0	1992.0		124	Comedy,Crime,Drama
tt4761112	movie	The Mauritanian	The Mauritanian	0.0	2021.0		129	Biography,Drama,Thriller
tt0107554	movie	Menace II Society	Menace II Society	0.0	1993.0		97	Crime,Drama,Thriller
tt6742252	movie	The Guilty	Den skyldige	0.0	2018.0		85	Crime,Drama,Thriller
tt0095497	movie	The Last Temptation of Christ	The Last Temptation of Christ	0.0	1988.0		164	Drama
tt8291806	movie	Pain and Glory	Dolor y gloria	0.0	2019.0		113	Drama
tt0427309	movie	The Great Debaters	The Great Debaters	0.0	2007.0		126	Biography,Drama,Romance
tt0327137	movie	Secondhand Lions	Secondhand Lions	0.0	2003.0		109	Comedy,Drama,Family
tt9426210	movie	Weathering with You	Tenki no ko	0.0	2019.0		112	Animation,Drama,Fantasy
tt0103939	movie	Chaplin	Chaplin	0.0	1992.0		143	Biography,Comedy,Drama
tt6543652	movie	Cold War	Zimna wojna	0.0	2018.0		89	Drama,Music,Romance
tt0063462	movie	The Producers	The Producers	0.0	1967.0		88	Comedy,Music
