tconst	averageRating	numVotes
tt0001200	5.2	48
tt0001202	5.7	41
tt0001206	6.8	46
tt0001207	5.4	159
tt0001211	5.4	55
tt0001214	6.6	10
tt0001216	5.6	41
tt0001217	5.6	127
tt0001218	5.2	147
tt0001223	6.4	5020
tt0001227	5.8	295
tt0001230	5.1	33
tt0001233	7.6	23
tt0001234	6.1	45
tt0001235	5.2	70
tt0001236	5.8	44
tt0001237	4.7	85
tt0001240	3.8	24
tt0001241	4.0	21
tt0001242	5.1	20
tt0001245	5.6	90
tt0001251	5.0	22
tt0001254	6.0	25
tt0001256	5.8	626
tt0001258	5.7	186
tt0001262	5.7	36
tt0001264	7.1	84
tt0001265	6.3	594
tt0001277	4.1	28
tt0001280	5.2	40
tt0001282	6.6	38
tt0001283	6.3	29
tt0001284	4.9	57
tt0001285	5.2	67
tt0001292	5.2	75
tt0001294	7.2	17
tt0001299	3.8	16
tt0001303	7.1	19
tt0001306	4.8	13
tt0001307	6.8	18
tt0001310	5.6	35
tt0001313	5.5	20
tt0001314	5.8	171
tt0001315	5.7	28
tt0001321	5.3	72
tt0001326	5.7	73
tt0001330	5.5	48
tt0001332	5.7	43
tt0001333	5.8	71
tt0001334	6.3	23
tt0001336	6.3	24
tt0001337	5.8	68
tt0001338	4.7	18
tt0001340	5.2	114
tt0001348	4.0	13
tt0001351	6.0	80
tt0001353	5.0	15
tt0001358	4.0	30
tt0001370	4.7	26
tt0001371	5.8	471
tt0001377	5.0	33
tt0001378	5.9	244
tt0001380	3.6	13
tt0001381	5.6	46
tt0001385	5.4	94
tt0001386	4.3	21
tt0001387	6.0	36
tt0001388	5.8	106
tt0001396	4.0	20
tt0001399	6.0	17
tt0001400	7.4	19
tt0001401	6.2	42
tt0001407	6.8	26
tt0001410	5.4	26
tt0001414	5.4	88
tt0001423	4.2	16
tt0001428	5.3	69
tt0001431	6.4	957
tt0001432	5.8	52
tt0001439	5.8	298
tt0001440	3.6	29
tt0001443	7.4	18
tt0001444	3.2	37
tt0001446	6.4	19
tt0001452	5.4	256
tt0001454	5.6	50
tt0001456	8.5	21
tt0001458	5.8	264
tt0001459	5.5	68
tt0001460	4.0	19
tt0001461	5.9	45
tt0001463	5.7	1758
tt0001469	5.9	168
tt0001471	3.4	11
tt0001475	7.4	24
tt0001481	5.5	52
tt0001482	5.2	77
tt0001487	6.1	10
tt0001488	6.3	610
tt0001490	5.2	30
tt0001496	4.2	75
tt0001497	7.7	13
tt0001498	8.1	18
tt0001499	5.6	396
tt0001500	5.0	9
tt0001508	5.5	52
tt0001510	5.6	72
tt0001517	6.2	45
tt0001518	5.7	29
tt0001519	5.1	44
tt0001521	5.2	13
tt0001527	7.7	3411
tt0001529	4.5	27
tt0001530	5.4	20
tt0001531	4.6	17
tt0001532	5.1	18
tt0001542	4.4	35
tt0001544	6.0	907
tt0001545	6.1	166
tt0001550	5.4	60
tt0001551	5.2	102
tt0001552	5.5	40
tt0001557	4.9	125
tt0001560	4.4	28
tt0001563	5.8	56
tt0001564	4.6	31
tt0001571	5.6	30
tt0001577	5.6	33
tt0001582	5.3	34
tt0001583	5.3	19
tt0001584	5.0	30
tt0001585	8.1	14
tt0001586	4.4	21
tt0001587	4.0	30
tt0001588	5.4	229
tt0001590	5.2	13
tt0001592	5.8	32
tt0001593	6.2	433
tt0001594	6.3	392
tt0001598	5.8	54
tt0001607	5.4	89
tt0001613	5.3	179
tt0001614	6.5	44
tt0001615	5.4	44
tt0001618	6.0	28
tt0001624	5.0	52
tt0001630	6.1	55
tt0001632	6.4	48
tt0001638	6.8	12
tt0001642	5.1	46
tt0001648	4.2	9
tt0001654	5.4	51
tt0001655	4.9	20
tt0001658	5.9	19
tt0001659	7.6	20
tt0001660	5.6	235
tt0001668	4.2	38
tt0001671	5.3	43
tt0001680	5.0	678
tt0001681	4.7	332
tt0001692	5.2	24
tt0001693	7.1	26
tt0001695	4.8	68
tt0001696	5.8	14
tt0001701	4.7	93
tt0001706	5.0	20
tt0001709	5.4	51
tt0001712	4.6	9
tt0001715	3.9	11
tt0001717	3.4	26
tt0001724	5.7	312
tt0001728	6.4	19
tt0001732	6.0	34
tt0001733	5.5	27
tt0001737	7.1	1936
tt0001738	6.4	66
tt0001740	6.5	1416
tt0001741	4.9	25
tt0001742	6.1	16
tt0001747	5.4	31
tt0001753	6.0	19
tt0001761	5.4	7
tt0001762	4.5	87
tt0001769	5.4	97
tt0001771	5.5	183
tt0001772	6.0	25
tt0001776	6.4	271
tt0001777	5.7	25
tt0001779	7.2	19
tt0001787	8.1	17
tt0001789	6.3	319
tt0001790	5.9	60
tt0001791	5.7	14
tt0001799	4.8	18
tt0001803	2.8	15
tt0001812	5.5	16
tt0001815	6.7	35
tt0001817	5.1	95
tt0001832	5.8	74
tt0001840	4.9	46
tt0001845	5.1	12
tt0001848	4.7	50
tt0001852	4.1	13
tt0001856	4.8	58
tt0001857	5.6	245
tt0001862	5.3	55
tt0001865	5.7	98
tt0001868	5.4	14
tt0001871	4.9	65
tt0001872	7.5	59
tt0001874	7.9	15
tt0001877	5.2	83
tt0001885	6.4	18
tt0001886	5.2	15
tt0001889	3.7	17
tt0001892	5.8	283
tt0001896	5.1	89
tt0001898	5.6	13
tt0001910	5.3	81
tt0001911	3.6	26
tt0001913	5.4	258
tt0001915	5.4	162
tt0001921	6.4	23
tt0001923	7.1	40
tt0001924	7.0	13
tt0001925	5.0	58
tt0001926	5.3	18
tt0001927	6.6	15
tt0001928	4.5	58
tt0001941	5.1	106
tt0001949	5.4	34
tt0001956	6.1	19
tt0001957	5.0	66
tt0001963	5.6	182
tt0001964	5.8	116
tt0001967	6.2	15
tt0001969	7.0	15
tt0001973	6.0	315
